species,strain,bp,mb,fragments,coverage
Ehrlichia_ruminantium,Ehrlichia_ruminantium_GCF_022833055.1_ASM2283305v1_genomic,1484125,1.484125,19788,1.999966310115388
Methanobrevibacter_smithii,Methanobrevibacter_smithii_GCA_982342725.1_ERR3261744_bin_2_genomic,1884591,1.884591,25127,1.9999299582774193
Campylobacter_curvus,Campylobacter_curvus_GCF_013372125.1_ASM1337212v1_genomic,1974918,1.974918,26332,1.9999817713950656
Campylobacter_curvus,Campylobacter_curvus_GCF_020736225.1_ASM2073622v1_genomic,1974909,1.974909,26332,1.9999908856559974
Candidatus_Nitrosotenuis_uzonensis,Candidatus_Nitrosotenuis_uzonensis_GCF_905220655.1_NU5A1_genomic,1814860,1.81486,24198,1.9999889798662156
Methanobrevibacter_smithii,Methanobrevibacter_smithii_GCA_982341245.1_ERR3261722_bin_19761_genomic,1285920,1.28592,17145,1.9999300111982083
Riemerella_anatipestifer,Riemerella_anatipestifer_GCF_051132245.1_RCAD0997_genomic,2219137,2.219137,29588,1.9999666537036696
Riemerella_anatipestifer,Riemerella_anatipestifer_GCF_052049705.1_ASM5204970v1_genomic,2284590,2.28459,30461,1.9999868685409636
Listeria_innocua,Listeria_innocua_GCF_040235195.1_ASM4023519v1_genomic,2910585,2.910585,38807,1.999958771174867
Clostridium_perfringens,Clostridium_perfringens_GCF_052972865.1_ASM5297286v1_genomic,3281136,3.281136,43748,1.9999780563804732
Listeria_innocua,Listeria_innocua_GCF_041720895.1_ASM4172089v1_genomic,3341013,3.341013,44546,1.9999622868872404
Ehrlichia_ruminantium,Ehrlichia_ruminantium_GCF_022814825.1_ASM2281482v1_genomic,1516356,1.516356,20218,1.999992086291082
Clostridium_perfringens,Clostridium_perfringens_GCF_055390345.1_ASM5539034v1_genomic,3706123,3.706123,49414,1.9999606057327293
Methylibium_petroleiphilum,Methylibium_petroleiphilum_GCF_965284425.1_NI281-mx-bin05_genomic,4221047,4.221047,56280,1.9999777306436057
Chromobacterium_violaceum,Chromobacterium_violaceum_GCF_051130035.1_ASM5113003v1_genomic,4837851,4.837851,64504,1.9999789162584791
Xenorhabdus_nematophila,Xenorhabdus_nematophila_GCF_965137205.1_CIP109146T_genomic,4336949,4.336949,57825,1.999965874627532
Methylibium_petroleiphilum,Methylibium_petroleiphilum_GCF_053579615.1_ASM5357961v1_genomic,4067523,4.067523,54233,1.9999763984124983
